Cluster ID	Status	Cluster name	Size	Cluster members	Organisms	Length	Identity
UniRef50_D2DGD8	reviewed	Cluster: Conotoxin Pu6.1	1	D2DGD8	Conus pulicarius (Flea-bite cone)	83	50%
UniRef50_D2DGD9	reviewed	Cluster: Conotoxin Lt6.4	1	D2DGD9	Conus litteratus (Lettered cone)	81	50%
UniRef50_D2X8K2	partially reviewed	Cluster: Phospholipase A2	2	D2X8K2; A7S5K1	Condylactis gigantea (Giant Caribbean anemone); Nematostella vectensis (Starlet sea anemone)	119	50%
UniRef50_D2Y101	reviewed	Cluster: Conotoxin Cal14.1b	3	D2Y101; D2Y102; D2Y100	Conus californicus (California cone)	68	50%
UniRef50_D2Y168	reviewed	Cluster: Conotoxin Cal14a	2	D2Y168; D6C4J3	Conus californicus (California cone)	61	50%
UniRef50_D2Y171	reviewed	Cluster: Conotoxin Cal5a L1	3	D2Y171; D2Y170; D2Y169	Conus californicus (California cone)	76	50%
UniRef50_D2Y172	reviewed	Cluster: Conotoxin Cal5.2	1	D2Y172	Conus californicus (California cone)	66	50%
UniRef50_D2Y173	reviewed	Cluster: Conotoxin Cal1.1a	2	D2Y173; D2Y174	Conus californicus (California cone)	65	50%
UniRef50_D2Y205	partially reviewed	Cluster: Hainantoxin-II.2	87	D2Y205; D2Y220; D2Y2K3; D2Y2J1; P82959; B3FIU5; D2Y2J3; D2Y223; D2Y227; D2Y209; D2Y222; D2Y2K9; D2Y2I9; D2Y208; D2Y2K5; D2Y228; D2Y2K8; D2Y2L3; D2Y218; D2Y224; B3FIT1; D2Y225; D2Y210; D2Y2K7; B3FIS9; D2Y2J6; D2Y2J8; D2Y217; D2Y230; D2Y226; B3FIS8; D2Y216; D2Y2K2; D2Y2J2; D2Y2J9; D2Y2J4; D2Y212; D2Y2D4; D2Y211; D2Y207; D2Y2K0; B3FIT0; D2Y2K4; D2Y2L2; D2Y204; D2Y214; D2Y2K1; D2Y2D5; B3FIT2; D2Y213; B3FIT5; D2Y231; D2Y2K6; B3FIT4; D2Y219; D2Y2J5; D2Y229; P68421; B5U1K0; D2Y2D6; D2Y2L0; D2Y206; D2Y221; D2Y215; Q86C49; P68422; B3FIT3; D5J6X7; B1P1A9; B1P1A7; B1P1A8; B1P1A6; B1P1A5; H7CEL7; H7CEL5; M5AYE7; H7CEL8; H7CEL4; H7CEL6; P0DMD9; B3EWY4; M5B4R6; D5J6X5; Q5Q114; P0CC19; P0CC18; Q5Q113	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Pelinobius muticus (King baboon spider) (Citharischius crawshayi); Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata); Brachypelma ruhnaui (Mexican golden redrump tarantula) (Brachypelma albiceps); Acanthoscurria paulensis (Brazilian giant black tarantula spider); Lasiodora sp. (strain IBSP 8539) (Brazilian salmon pink birdeater) (Brazilian salmon pink tarantula); Lasiodora parahybana (Brazilian salmon pink birdeater) (Brazilian salmon pink tarantula)	85	50%
UniRef50_D2Y232	partially reviewed	Cluster: Mu-theraphotoxin-Hhn1b	104	D2Y232; P83303; D2Y233; D2Y2D7; D2Y234; D2Y235; D2Y2N2; D2Y2N5; D2Y2M0; D2Y2M6; D2Y248; D2Y2G4; D2Y2M3; D2Y247; D2Y2N7; D2Y242; D2Y2M1; B5U1J9; D2Y2M4; D2Y241; D2Y240; P61103; P0CH72; D2Y2G3; D2Y250; D2Y2G6; D2Y2M8; D2Y249; D2Y2G8; D2Y2G7; D2Y244; D2Y2G5; D2Y2N0; D2Y2M5; D2Y2N4; D2Y2M9; D2Y243; D2Y2M2; D2Y2N1; D2Y2N3; D2Y2N6; D2Y246; D2Y2G9; D2Y245; B3FIS4; B3FIS2; B3FIS1; B3FIS5; Q86C51; P0CH71; B3FIS3; B3FIS0; B3FIQ9; B3FIR0; B3FIR7; B3FIR1; B3FIR3; B3FIR4; P56676; B3FIR6; B3FIR8; B3FIR9; B3FIQ8; B3FIR5; M5AWU2; P0DJA9; M5AYC6; D2Y2D3; D2Y1Y8; D2Y2I3; D2Y2I5; D2Y1X9; D2Y1Z1; D2Y1Y0; D2Y1Y5; D2Y1Z3; D2Y2D2; D2Y1Y1; D2Y1Y9; D2Y1Y6; D2Y1Z7; D2Y1Z4; D2Y201; D2Y1Y2; D2Y1Z8; D2Y1Y3; D2Y1Y7; D2Y1Z9; D2Y1Z5; D2Y202; D2Y1Y4; D2Y1Z0; D2Y2I6; D2Y2D1; D2Y200; D2Y1Z6; D2Y203; D2Y1Z2; D2Y1X8; D2Y1X6; D2Y1X7; B3FIS7; B3FIS6; P68426	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	86	50%
UniRef50_D2Y251	partially reviewed	Cluster: Hainantoxin-XVIII	21	D2Y251; D2Y2P1; D2Y2P2; D2Y252; D2Y2N9; D2Y2H2; D2Y2P0; D2Y2H1; M5AWW2; I2FKH7; B3FIN4; B6DD59; B2ZBA8; B3FIN8; B3FIN9; B2ZBB2; B2ZBB0; B3FIN7; B3FIN6; B2ZBB1; B2ZBA9	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	109	50%
UniRef50_D2Y262	partially reviewed	Cluster: Hainantoxin-XVI.10	66	D2Y262; B3FIQ0; B3FIQ4; B3FIP5; D2Y272; B3FIQ2; D2Y271; D2Y253; B3FIQ3; B3FIP6; B3FIP7; B3FIP9; D2Y2P8; D2Y295; B3FIP8; B3FIQ1; D2Y2P5; D2Y269; D2Y2I0; D2Y292; D2Y2I1; D2Y280; D2Y285; D2Y263; D2Y281; D2Y296; D2Y256; D2Y290; D2Y298; D2Y2H9; D2Y277; D2Y297; D2Y276; D2Y278; D2Y265; D2Y274; D2Y254; D2Y261; D2Y279; D2Y293; D2Y286; D2Y288; D2Y257; D2Y266; D2Y273; D2Y2P6; D2Y259; D2Y294; D2Y2I2; D2Y264; D2Y275; D2Y267; D2Y284; D2Y2P3; D2Y260; D2Y270; D2Y287; D2Y255; D2Y289; D2Y268; D2Y258; D2Y291; D2Y299; B3FIQ7; D2Y283; D2Y282	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum)	113	50%
UniRef50_D2Y2C3	partially reviewed	Cluster: Hainantoxin-VII	8	D2Y2C3; D2Y2C1; D2Y2H8; D2Y2H6; D2Y2H7; H7CEK7; M5AXM9; M5B4R1	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	85	50%
UniRef50_D2Y2C5	partially reviewed	Cluster: Hainantoxin-XVII	19	D2Y2C5; D2Y2C6; D2Y2C7; D2Y2C8; B2ZBA4; B2ZBA2; B3FIU1; B2ZBA3; B2ZBA7; B3FIT7; B3FIT6; B2ZBA6; D2Y2C9; D2Y2H0; B2ZBA5; B3FIT9; D2Y2D0; B3FIU0; B3FIT8	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum)	98	50%
UniRef50_D2Y2E4	partially reviewed	Cluster: Hainantoxin-XIV-4	16	D2Y2E4; D2Y2E7; D2Y2E6; B3FIP3; D2Y2E5; D2Y2C0; D2Y2E3; D2Y2E0; D2Y2E2; D2Y2E1; B3FIP4; M5AXQ8; H7CEL1; M5AY95; M5AXQ1; M5B4R5	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana); Haplopelma schmidti (Chinese bird spider) (Ornithoctonus huwenum); Grammostola rosea (Chilean rose tarantula) (Grammostola spatulata)	84	50%
UniRef50_D2Y2H3	reviewed	Cluster: Hainantoxin-XIII-13	19	D2Y2H3; D2Y2A8; D2Y2A0; D2Y2A1; D2Y2B1; D2Y2B3; D2Y2H4; D2Y2A2; D2Y2H5; D2Y2A9; D2Y2A5; D2Y2A6; D2Y2B4; D2Y2A3; D2Y2A7; D2Y2A4; D2Y2B0; D2Y2B2; D2Y2B5	Haplopelma hainanum (Chinese bird spider) (Selenocosmia hainana)	90	50%
UniRef50_D2Y3T1	reviewed	Cluster: Conotoxin Cal16a	1	D2Y3T1	Conus californicus (California cone)	65	50%
UniRef50_D2Y3T3	reviewed	Cluster: Conotoxin Cal9.2a	4	D2Y3T3; D6C4M1; D6C4M0; D2Y3T5	Conus californicus (California cone)	79	50%
UniRef50_D2Y3T7	reviewed	Cluster: Conotoxin Cal9.2e (Fragment)	4	D2Y3T7; D2Y3T6; D2Y3T4; D2Y3T8	Conus californicus (California cone)	53	50%
UniRef50_D2Y488	reviewed	Cluster: Kunitz-type serine protease inhibitor conotoxin Cal9.1a	1	D2Y488	Conus californicus (California cone)	78	50%
UniRef50_D2Y491	partially reviewed	Cluster: Kunitz-type serine protease inhibitor conotoxin Cal9.1d (Fragment)	4	D2Y491; D2Y490; D2Y489; L8HVQ5	Conus californicus (California cone); Bos mutus	60	50%
UniRef50_D2Y492	reviewed	Cluster: Conotoxin Cl6b	2	D2Y492; D5KR59	Conus californicus (California cone)	70	50%
UniRef50_D2Y493	reviewed	Cluster: Conotoxin Cal6.3a	1	D2Y493	Conus californicus (California cone)	78	50%
UniRef50_D2Y494	reviewed	Cluster: Conotoxin Cal6.3b (Fragment)	1	D2Y494	Conus californicus (California cone)	52	50%
UniRef50_D2Y495	reviewed	Cluster: Conotoxin Cal6.1a	3	D2Y495; D2Y496; D2Y499	Conus californicus (California cone)	97	50%
UniRef50_D2Y4A2	reviewed	Cluster: Conotoxin Cal6.1h (Fragment)	5	D2Y4A2; D2Y498; D2Y497; D2Y4A0; D2Y4A1	Conus californicus (California cone)	36	50%
UniRef50_D2YVH7	partially reviewed	Cluster: C-type lectin mannose-binding isoform	30	D2YVH7; D2YVJ8; D2YVK5; D2YVJ0; I6LJ75; D2YVJ1; D2YVK0; D2YVJ9; I6LJ74; D2YVI6; D2YVI1; M9T298; D2YVK3; D2YVJ5; U3EPK2; C6JUN9; A0A098LY96; UPI000441A4B3; M9T1P0; D2SLM9; Q90WI7; A1XXJ9; D5J9S1; M9T5Q1; R4FIG0; R4G7H3; R4FJQ8; R4G2Q0; A7X3Z7; A7X3Z4	Oxyuranus scutellatus (Coastal taipan); Tropidechis carinatus (Australian rough-scaled snake); Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake); Oxyuranus microlepidotus (Inland taipan); Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens); Pseudonaja textilis (Eastern brown snake); Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus); Pseudechis australis (Mulga snake) (King brown snake); Cylindrophis ruffus (Red-tailed pipe snake); Hoplocephalus stephensii (Stephens banded snake); Micrurus fulvius (Eastern coral snake) (Coluber fulvius); Micrurus corallinus (Brazilian coral snake); Opheodrys aestivus; Python bivittatus (Burmese python) (Python molurus bivittatus); Demansia vestigiata (Lesser black whip snake) (Demansia atra); Bungarus fasciatus (Banded krait) (Pseudoboa fasciata); Bungarus multicinctus (Many-banded krait); Bungarus flaviceps; Boa constrictor (Boa); Furina ornata; Brachyurophis roperi (Northern shovel-nosed snake); Erythrolamprus poecilogyrus (Water snake) (Liophis poecilogyrus)	158	50%
UniRef50_D2YW40	reviewed	Cluster: Snaclec rhodocetin subunit delta	1	D2YW40	Calloselasma rhodostoma (Malayan pit viper) (Agkistrodon rhodostoma)	124	50%
UniRef50_D3JWK2	reviewed	Cluster: Conotoxin Cal22a	2	D3JWK2; D3JWK7	Conus californicus (California cone)	94	50%
UniRef50_D3JWK3	reviewed	Cluster: Conotoxin Cal22b (Fragment)	4	D3JWK3; D3JWK4; D3JWK6; D3JWK5	Conus californicus (California cone)	55	50%
UniRef50_D3JYA6	reviewed	Cluster: Conotoxin CalMKLL-2	2	D3JYA6; D3JYA5	Conus californicus (California cone)	131	50%
UniRef50_D4HRK4	reviewed	Cluster: Alpha-conotoxin EIIA	3	D4HRK4; P0CY87; P0CY86	Conus ermineus (Atlantic fish-hunting cone); Conus bullatus (Bubble cone)	61	50%
UniRef50_D4P2Y4	reviewed	Cluster: Venom allergen 5 2 (Fragment)	1	D4P2Y4	Polybia paulista (Neotropical social wasp) (Swarm-founding polistine wasp)	141	50%
UniRef50_D5GSJ8	partially reviewed	Cluster: Toxin CpTx1	9	D5GSJ8; A0A059T2C3; W5U022; A0A059T2E0; A0A059T2B5; A0A059T2H2; A0A059T2G7; A0A059T2H4; A0A059T2C4	Cheiracanthium punctorium (Yellow sac spider)	183	50%
UniRef50_D5J6X1	reviewed	Cluster: U1-theraphotoxin-Pm1a	1	D5J6X1	Pelinobius muticus (King baboon spider) (Citharischius crawshayi)	84	50%
UniRef50_D5KR58	partially reviewed	Cluster: Conotoxin cal6.4a	7	D5KR58; Q9BP91; Q9BP92; Q9BP90; Q9BP88; Q9BP89; A0A0C9R728	Conus californicus (California cone); Conus arenatus (Sand-dusted cone); Conus tribblei	64	50%
UniRef50_D5KXG5	partially reviewed	Cluster: Turripeptide VI/VII-01	2	D5KXG5; A0A098LWD2	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa)	80	50%
UniRef50_D5KXG6	reviewed	Cluster: Turripeptide XIV-18 (Fragment)	1	D5KXG6	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa)	32	50%
UniRef50_D5KXG8	reviewed	Cluster: Turripeptide IX-01	1	D5KXG8	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa)	84	50%
UniRef50_D5KXH1	reviewed	Cluster: Turripeptide XIV-01	1	D5KXH1	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa)	56	50%
UniRef50_D5KXH3	partially reviewed	Cluster: Turripeptide VIII-01	2	D5KXH3; A0A098LWC6	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa)	143	50%
UniRef50_D5KXH4	partially reviewed	Cluster: Turripeptide NCR-01	3	D5KXH4; A0A098LY15; A0A098LWG6	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa); Unedogemmula bisaya; Turridrupa cerithina (Sea snail) (Crassispira cerithina)	118	50%
UniRef50_D5KXH6	partially reviewed	Cluster: Turripeptide IX-03	5	D5KXH6; A0A098LWD6; D5KXG7; D5KXH2; D5KXG9	Gemmula speciosa (Splendid gem-turris) (Pleurotoma speciosa)	84	50%
UniRef50_D6C4H5	reviewed	Cluster: Conotoxin Cl1.1	1	D6C4H5	Conus californicus (California cone)	60	50%
UniRef50_D6C4H6	reviewed	Cluster: Conotoxin Cl1.2	1	D6C4H6	Conus californicus (California cone)	28	50%
UniRef50_D6C4H8	reviewed	Cluster: Conotoxin Cl10.1	1	D6C4H8	Conus californicus (California cone)	80	50%
UniRef50_D6C4H9	reviewed	Cluster: Conotoxin Cl11.1	1	D6C4H9	Conus californicus (California cone)	78	50%
UniRef50_D6C4I0	reviewed	Cluster: Conotoxin Cl11.2	1	D6C4I0	Conus californicus (California cone)	80	50%
UniRef50_D6C4I4	reviewed	Cluster: Conotoxin Cl14.10 (Fragment)	1	D6C4I4	Conus californicus (California cone)	36	50%
UniRef50_D6C4I5	reviewed	Cluster: Conotoxin Cl14.11	1	D6C4I5	Conus californicus (California cone)	63	50%
UniRef50_D6C4I6	reviewed	Cluster: Conotoxin Cl14.12	1	D6C4I6	Conus californicus (California cone)	124	50%
UniRef50_D6C4I7	reviewed	Cluster: Conotoxin Cl14.1a	4	D6C4I7; D6C4J0; D6C4I9; D6C4I8	Conus californicus (California cone)	67	50%
UniRef50_D6C4J2	reviewed	Cluster: Conotoxin Cl14b (Fragment)	1	D6C4J2	Conus californicus (California cone)	20	50%
UniRef50_D6C4J4	reviewed	Cluster: Conotoxin Cl14.5 (Fragment)	1	D6C4J4	Conus californicus (California cone)	39	50%
UniRef50_D6C4J6	reviewed	Cluster: Conotoxin Cl14.7 (Fragment)	1	D6C4J6	Conus californicus (California cone)	39	50%
UniRef50_D6C4J7	reviewed	Cluster: Conotoxin Cl14.8	1	D6C4J7	Conus californicus (California cone)	73	50%
UniRef50_D6C4J8	reviewed	Cluster: Conotoxin Cl14.9	1	D6C4J8	Conus californicus (California cone)	78	50%
UniRef50_D6C4J9	reviewed	Cluster: Conotoxin Cl5.3	1	D6C4J9	Conus californicus (California cone)	28	50%
UniRef50_D6C4K2	reviewed	Cluster: Conotoxin Cl6.12	1	D6C4K2	Conus californicus (California cone)	77	50%
UniRef50_D6C4K3	reviewed	Cluster: Conotoxin Cl6.13	1	D6C4K3	Conus californicus (California cone)	70	50%
UniRef50_D6C4K4	reviewed	Cluster: Conotoxin Cl6.14 (Fragment)	1	D6C4K4	Conus californicus (California cone)	45	50%
UniRef50_D6C4K5	reviewed	Cluster: Conotoxin Cl6.15	1	D6C4K5	Conus californicus (California cone)	77	50%
UniRef50_D6C4K6	reviewed	Cluster: Conotoxin Cl6.16 (Fragment)	1	D6C4K6	Conus californicus (California cone)	35	50%
UniRef50_D6C4L1	reviewed	Cluster: Conotoxin Cl6.4	1	D6C4L1	Conus californicus (California cone)	76	50%
UniRef50_D6C4L6	reviewed	Cluster: Conotoxin Cl6.8	2	D6C4L6; D6C4L5	Conus californicus (California cone)	67	50%
UniRef50_D6C4L7	reviewed	Cluster: Conotoxin Cl6.9	4	D6C4L7; D6C4L3; D6C4L4; D6C4K0	Conus californicus (California cone)	67	50%
UniRef50_D6C4L8	reviewed	Cluster: Conotoxin Cl9.1	1	D6C4L8	Conus californicus (California cone)	70	50%
UniRef50_D6C4L9	reviewed	Cluster: Conotoxin Cl9.2	1	D6C4L9	Conus californicus (California cone)	73	50%
UniRef50_D6C4M2	partially reviewed	Cluster: Conotoxin Cl9.5	8	D6C4M2; A0A061QLE3; A0A061QLA3; A0A061QLA4; A0A061QLC7; A0A061QFM2; A0A0C9SFM3; A0A061QL78	Conus californicus (California cone); Conus sp. n. 1 NP-2014; Conus lividus (Livid cone); Conus sanguinolentus; Conus tribblei	80	50%
UniRef50_D6C4M3	reviewed	Cluster: Conotoxin Cl9.6	1	D6C4M3	Conus californicus (California cone)	81	50%
UniRef50_D8KY58	partially reviewed	Cluster: Kunitz-type serine protease inhibitor Bt-KTI	4	D8KY58; G3LH89; A0A016VRE6; E2BB26	Bombus terrestris (Buff-tailed bumblebee) (Apis terrestris); Bombus ignitus (Bumblebee); Ancylostoma ceylanicum; Harpegnathos saltator (Jerdons jumping ant)	82	50%
UniRef50_D8VNS6	reviewed	Cluster: C-type lectin	6	D8VNS6; A7X3X8; A7X3X3; A7X3X0; A7X3Y6; A7X3Y2	Cerberus rynchops (Dog-faced water snake); Pseudoferania polylepis (Macleays water snake) (Enhydris polylepis)	158	50%
UniRef50_D8VNS8	partially reviewed	Cluster: Ryncolin-2	18	D8VNS8; D8VNS9; D8VNS7; W5MZY1; UPI0003C13ACD; H3B766; UPI0003EADB9B; UPI00034F9230; UPI0003500E38; Q7ZT73; B7ZSC2; UPI0004D04E22; D8VNT0; Q7SZ01; I0BWT1; UPI0003EAB575; F6PQX4; Q0D2B2	Cerberus rynchops (Dog-faced water snake); Lepisosteus oculatus (Spotted gar); Latimeria chalumnae (West Indian ocean coelacanth); Xenopus tropicalis (Western clawed frog) (Silurana tropicalis); Xenopus laevis (African clawed frog); Galeopterus variegatus (Malayan flying lemur) (Cynocephalus variegatus); Pseudoferania polylepis (Macleays water snake) (Enhydris polylepis)	347	50%
UniRef50_D9IX97	partially reviewed	Cluster: Natriuretic peptide Na-NP	6	D9IX97; D5J9S0; P79799; A0A0F7YYW3; B8K1V9; U3FVG3	Naja atra (Chinese cobra); Bungarus flaviceps flaviceps (Red-headed krait); Micrurus corallinus (Brazilian coral snake); Micrurus fulvius (Eastern coral snake) (Coluber fulvius)	165	50%
UniRef50_D9IX98	reviewed	Cluster: Natriuretic peptide Oh-NP	2	D9IX98; P0DMD5	Ophiophagus hannah (King cobra) (Naja hannah); Bungarus multicinctus (Many-banded krait)	210	50%
UniRef50_D9U2A2	reviewed	Cluster: Lipolysis-activating peptide 1-beta chain	2	D9U2A2; P0CI43	Lychas mucronatus (Chinese swimming scorpion)	94	50%
UniRef50_D9U2A5	reviewed	Cluster: Neurotoxin LmNaTx28	1	D9U2A5	Lychas mucronatus (Chinese swimming scorpion)	89	50%
UniRef50_D9U2A6	partially reviewed	Cluster: Neurotoxin alpha-KTx 29.1	5	D9U2A6; R4GUQ1; P0CI86; T1DEM2; T1DMT2	Lychas mucronatus (Chinese swimming scorpion); Lychas buchari	60	50%
UniRef50_D9U2B0	reviewed	Cluster: Putative neurotoxin-A	1	D9U2B0	Lychas mucronatus (Chinese swimming scorpion)	61	50%
UniRef50_D9U2B2	partially reviewed	Cluster: Neurotoxin alpha-KTx 26.2	4	D9U2B2; P0CI85; T1E6Z0; T1E7P1	Lychas mucronatus (Chinese swimming scorpion); Lychas buchari	58	50%
UniRef50_D9U2B3	reviewed	Cluster: Putative neurotoxin-I (Fragment)	1	D9U2B3	Lychas mucronatus (Chinese swimming scorpion)	54	50%
UniRef50_E2E4F7	partially reviewed	Cluster: Celestoxin	2	E2E4F7; E2E4F7-2	Celestus warreni (Giant Hispaniolan galliwasp) (Diploglossus warreni); ?	185	50%
UniRef50_E2IYB3	partially reviewed	Cluster: Veficolin-1 (Fragment)	5	E2IYB3; UPI0003D07839; UPI0003F09749; V8N647; UPI000462E3B9	Varanus komodoensis (Komodo dragon); Alligator mississippiensis (American alligator); Elephantulus edwardii (Cape long-eared elephant shrew); Ophiophagus hannah (King cobra) (Naja hannah); Anolis carolinensis (Green anole) (American chameleon)	221	50%
UniRef50_E3P6N3	partially reviewed	Cluster: AsCystatin	20	E3P6N3; E3P6N4; E3P6N9; E3P6N7; E3P6P0; E3P6N5; E3P6N8; E3P6P1; E3P6N6; E3P6P3; E3P6P2; A0A0A1WCX6; A0A098LYE4; UPI0004421426; Q6T6T4; E3P6P4; A0A098LX05; J3RYX9; A0A0F7Z904; UPI00044232C5	Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus); Pseudonaja textilis (Eastern brown snake); Tropidechis carinatus (Australian rough-scaled snake); Pseudechis porphyriacus (Red-bellied black snake); Hoplocephalus stephensii (Stephens banded snake); Oxyuranus microlepidotus (Inland taipan); Pseudechis australis (Mulga snake) (King brown snake); Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens); Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan); Micropechis ikaheka (New Guinean small-eyed snake); Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake); Echis coloratus (Carpet viper); Opheodrys aestivus; Python bivittatus (Burmese python) (Python molurus bivittatus); Bitis gabonica (Gaboon adder) (Gaboon viper); Naja kaouthia (Monocled cobra) (Naja siamensis); Pantherophis guttatus (Corn snake); Crotalus adamanteus (Eastern diamondback rattlesnake)	141	50%
UniRef50_E3PQQ8	reviewed	Cluster: ConoCAP	1	E3PQQ8	Conus villepinii (Villepins cone)	207	50%
UniRef50_E4VP50	partially reviewed	Cluster: Venom antimicrobial peptide-9	4	E4VP50; F6K5S5; F6K5S8; A0A059U8Y9	Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus); Mesobuthus martensii (Manchurian scorpion) (Buthus martensii); Mesobuthus gibbosus (Mediterranean checkered scorpion)	69	50%
UniRef50_E7BLC7	reviewed	Cluster: Toxin Acra3	2	E7BLC7; P0CI55	Androctonus crassicauda (Arabian fat-tailed scorpion); Lychas mucronatus (Chinese swimming scorpion)	84	50%
UniRef50_E7FL13	partially reviewed	Cluster: Kunitz serine protease inhibitor Pr-mulgin 3	33	E7FL13; E7FL12; B5KL39; B5L5R1; B5KL40; B5L5Q8; Q6ITC0; F8J2F4; R4G7J5; Q6ITB0; Q6ITB1; B5G6G6; R4G303; B5L5R0; B5L5R7; R4G2V5; R4G2G5; R4FI64; F8J2F8; F8J2G0; F8J2F7; F8J2F3; B5KL32; B5KL41; R4FIP0; B5L5R4; B5KL33; Q6ITB2; Q6ITB3; B5KL30; A0A0F7Z3Q3; U3EPJ0; U3FVG9	Pseudechis rossignolii (Papuan pigmy mulga snake); Austrelaps superbus (Lowland copperhead snake) (Hoplocephalus superbus); Pseudechis porphyriacus (Red-bellied black snake); Pseudechis australis (Mulga snake) (King brown snake); Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides); Hoplocephalus bungaroides; Tropidechis carinatus (Australian rough-scaled snake); Hoplocephalus stephensii (Stephens banded snake); Furina ornata; Acanthophis wellsi; Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake); Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan); Micrurus fulvius (Eastern coral snake) (Coluber fulvius)	83	50%
UniRef50_F1AWB0	reviewed	Cluster: Vejovine	1	F1AWB0	Vaejovis mexicanus (Mexican scorpion)	82	50%
UniRef50_F1CJ67	partially reviewed	Cluster: U10-hottentoxin-Hj2a	3	F1CJ67; F1CJ80; A0A088D9R6	Hottentotta judaicus (Black scorpion) (Buthotus judaicus); Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus)	62	50%
UniRef50_F1CJ89	reviewed	Cluster: Amphipathic peptide Hj0164 (Fragment)	1	F1CJ89	Hottentotta judaicus (Black scorpion) (Buthotus judaicus)	45	50%
UniRef50_F5CPD3	partially reviewed	Cluster: Three-finger toxin MALT0044C	6	F5CPD3; C6JUP0; U3FVH8; U3EPK7; A0A0F7YZ34; A0A0F7YYX2	Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris); Micrurus corallinus (Brazilian coral snake); Micrurus fulvius (Eastern coral snake) (Coluber fulvius)	85	50%
UniRef50_F5CPE0	partially reviewed	Cluster: Three-finger toxin MALT0059C	11	F5CPE0; F5CPE2; A0A0F7YZP6; A0A0F7Z039; U3EPL2; U3FAE1; C6JUP1; R4FKC7; R4FIW8; R4G336; F5CPE6	Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris); Micrurus fulvius (Eastern coral snake) (Coluber fulvius); Micrurus corallinus (Brazilian coral snake); Pseudonaja modesta	80	50%
UniRef50_F5CPE8	reviewed	Cluster: Natriuretic peptide	1	F5CPE8	Micrurus altirostris (Uruguayan coral snake) (Elaps altirostris)	120	50%
UniRef50_F8J4S0	reviewed	Cluster: Oxyopinin-4a	1	F8J4S0	Oxyopes takobius (Lynx spider) (Oxyopes foliiformis)	77	50%
UniRef50_G0W2H8	reviewed	Cluster: U-actitoxin-Bgr3a	4	G0W2H8; G0W2I0; P0DMX5; G0W2H9	Bunodosoma granuliferum (Red warty sea anemone); Anthopleura elegantissima (Sea anemone)	74	50%
UniRef50_G0W2I1	reviewed	Cluster: U-actitoxin-Bgr3d	1	G0W2I1	Bunodosoma granuliferum (Red warty sea anemone)	79	50%
UniRef50_G1C1T3	reviewed	Cluster: Conotoxin Cal12.1p5 (Fragment)	5	G1C1T3; G1C1T2; G1C1T0; F5CEP0; G1C1T1	Conus californicus (California cone)	69	50%
